latitud,cat_nom_catala,codi,espai_verd,adreca,catalogacio,nom_districte,tipus_element,cat_nom_castella,nom_barri,geom,cat_nom_cientific,x_etrs89,data_plantacio,codi_barri,longitud,codi_districte,tipus_reg,categoria_arbrat,cat_especie_id,tipus_aigua,y_etrs89,_id
41.4359576,Pi pinyoner; pi pinyer,0000406AR,"Central de Nou Barris, Parc","C\ Vilalba dels Arcs, 6",,NOU BARRIS,ARBRE ZONA,Pino piñonero,LA GUINEUETA,POINT (430610.883044312 4587487.16863388),Pinus pinea,430610.883,,48,2.1694433,8,GOTEIG,TERCERA,108,,4587487.169,22
41.4359217,Pi pinyoner; pi pinyer,0000407AR,"Central de Nou Barris, Parc","C\ Vilalba dels Arcs, 4",,NOU BARRIS,ARBRE ZONA,Pino piñonero,LA GUINEUETA,POINT (430610.502013493 4587483.1846306),Pinus pinea,430610.502,,48,2.1694392,8,GOTEIG,SEGONA,108,,4587483.185,23
41.4359504,Pi pinyoner; pi pinyer,0000408AR,"Central de Nou Barris, Parc","C\ Vilalba dels Arcs, 4",,NOU BARRIS,ARBRE ZONA,Pino piñonero,LA GUINEUETA,POINT (430615.935045703 4587486.31959424),Pinus pinea,430615.935,,48,2.1695039,8,GOTEIG,SEGONA,108,,4587486.320,24
41.4359177,Pi pinyoner; pi pinyer,0000409AR,"Central de Nou Barris, Parc","C\ Vilalba dels Arcs, 4",,NOU BARRIS,ARBRE ZONA,Pino piñonero,LA GUINEUETA,POINT (430615.355017299 4587482.69459302),Pinus pinea,430615.355,,48,2.1694974,8,GOTEIG,PRIMERA,108,,4587482.695,25
41.4359439,Pi pinyoner; pi pinyer,0000410AR,"Central de Nou Barris, Parc","C\ Vilalba dels Arcs, 4",,NOU BARRIS,ARBRE ZONA,Pino piñonero,LA GUINEUETA,POINT (430621.120347063 4587485.55228174),Pinus pinea,430621.120,,48,2.1695660,8,GOTEIG,TERCERA,108,,4587485.552,26
41.4359113,Pi pinyoner; pi pinyer,0000411AR,"Central de Nou Barris, Parc","C\ Vilalba dels Arcs, 4",,NOU BARRIS,ARBRE ZONA,Pino piñonero,LA GUINEUETA,POINT (430620.616019719 4587481.93855193),Pinus pinea,430620.616,,48,2.1695604,8,GOTEIG,SEGONA,108,,4587481.939,27
41.4359393,Pi pinyoner; pi pinyer,0000412AR,"Central de Nou Barris, Parc","C\ Vilalba dels Arcs, 4",,NOU BARRIS,ARBRE ZONA,Pino piñonero,LA GUINEUETA,POINT (430625.999999952 4587484.99999993),Pinus pinea,430626.000,,48,2.1696245,8,GOTEIG,EXEMPLAR,108,,4587485.000,28
41.4359081,Pi pinyoner; pi pinyer,0000413AR,"Central de Nou Barris, Parc","C\ Vilalba dels Arcs, 4",,NOU BARRIS,ARBRE ZONA,Pino piñonero,LA GUINEUETA,POINT (430625.335638775 4587481.54035138),Pinus pinea,430625.336,,48,2.1696169,8,GOTEIG,SEGONA,108,,4587481.540,29
41.4359353,Pi pinyoner; pi pinyer,0000414AR,"Central de Nou Barris, Parc","C\ Vilalba dels Arcs, 4",,NOU BARRIS,ARBRE ZONA,Pino piñonero,LA GUINEUETA,POINT (430630.773054974 4587484.50947885),Pinus pinea,430630.773,,48,2.1696817,8,GOTEIG,TERCERA,108,,4587484.509,30
41.4359042,Pi pinyoner; pi pinyer,0000415AR,"Central de Nou Barris, Parc","C\ Vilalba dels Arcs, 4",,NOU BARRIS,ARBRE ZONA,Pino piñonero,LA GUINEUETA,POINT (430630.111552553 4587481.05469748),Pinus pinea,430630.112,,48,2.1696742,8,GOTEIG,SEGONA,108,,4587481.055,31
41.4359341,Pi pinyoner; pi pinyer,0000416AR,"Central de Nou Barris, Parc","C\ Vilalba dels Arcs, 4",,NOU BARRIS,ARBRE ZONA,Pino piñonero,LA GUINEUETA,POINT (430635.170219196 4587484.33429476),Pinus pinea,430635.170,,48,2.1697343,8,GOTEIG,EXEMPLAR,108,,4587484.334,32
41.4359076,Pi pinyoner; pi pinyer,0000417AR,"Central de Nou Barris, Parc","C\ Borgonya, 10",,NOU BARRIS,ARBRE ZONA,Pino piñonero,LA GUINEUETA,POINT (430590.92262688 4587481.80928545),Pinus pinea,430590.923,,48,2.1692050,8,GOTEIG,EXEMPLAR,108,,4587481.809,33
41.4358702,Pi pinyoner; pi pinyer,0000418AR,"Central de Nou Barris, Parc","C\ Borgonya, 10",,NOU BARRIS,ARBRE ZONA,Pino piñonero,LA GUINEUETA,POINT (430590.269786171 4587477.66445423),Pinus pinea,430590.270,,48,2.1691977,8,GOTEIG,EXEMPLAR,108,,4587477.664,34
41.4366151,washingtònia de Califòrnia,0000631AR,"Central de Nou Barris, Parc","Pl Major de Nou Barris, 0",,NOU BARRIS,PALMERA ZONA,Washingtonia; palmera de abanico de California,LA GUINEUETA,POINT (430725.15027111 4587559.08182284),Washingtonia filifera,430725.150,,48,2.1708027,8,GOTEIG,EXEMPLAR,620,,4587559.082,35
41.4365382,Palmera de Canaries; palmera de Canàries,0000632AR,"Central de Nou Barris, Parc","Pl Major de Nou Barris, 0",,NOU BARRIS,PALMERA ZONA,Palmera canaria,LA GUINEUETA,POINT (430722.700760564 4587550.56135238),Phoenix canariensis,430722.701,,48,2.1707743,8,ASPERSIÓ,SEGONA,47,,4587550.561,36
41.4365129,washingtònia de Califòrnia,0000634AR,"Central de Nou Barris, Parc","Pl Major de Nou Barris, 0",,NOU BARRIS,PALMERA ZONA,Washingtonia; palmera de abanico de California,LA GUINEUETA,POINT (430727.183684008 4587547.71284532),Washingtonia filifera,430727.184,,48,2.1708283,8,ASPERSIÓ,EXEMPLAR,620,,4587547.713,37
41.4366744,washingtònia de Califòrnia,0000635AR,"Central de Nou Barris, Parc","Pl Major de Nou Barris, 0",,NOU BARRIS,PALMERA ZONA,Washingtonia; palmera de abanico de California,LA GUINEUETA,POINT (430764.497758163 4587565.28477213),Washingtonia filifera,430764.498,,48,2.1712729,8,GOTEIG,EXEMPLAR,620,,4587565.285,38
